date,symbol,close,volume
2024-01-02,AAPL,181.25,62340000
2024-01-02,GOOG,140.50,24510000
2024-01-02,MSFT,371.20,28730000
2024-01-03,AAPL,180.80,58120000
2024-01-03,GOOG,141.10,22870000
2024-01-03,MSFT,370.45,26410000
2024-01-04,AAPL,181.90,64500000
2024-01-04,GOOG,140.85,25130000
2024-01-04,MSFT,372.30,29850000
2024-01-05,AAPL,182.60,59870000
2024-01-05,GOOG,142.20,23640000
2024-01-05,MSFT,373.10,27540000
2024-01-08,AAPL,183.15,67230000
2024-01-08,GOOG,141.75,26980000
2024-01-08,MSFT,374.85,31200000
2024-01-09,AAPL,182.40,55890000
2024-01-09,GOOG,143.00,24320000
2024-01-09,MSFT,373.60,28160000
2024-01-10,AAPL,184.20,71450000
2024-01-10,GOOG,143.80,28740000
2024-01-10,MSFT,376.20,33470000
2024-01-11,AAPL,185.50,68900000
2024-01-11,GOOG,144.25,27150000
2024-01-11,MSFT,377.45,30820000
2024-01-12,AAPL,184.90,60230000
2024-01-12,GOOG,143.60,23890000
2024-01-12,MSFT,376.80,27940000
2024-01-16,AAPL,186.30,73100000
2024-01-16,GOOG,145.10,29560000
2024-01-16,MSFT,378.90,34100000
2024-01-17,AAPL,185.75,66400000
2024-01-17,GOOG,144.50,25830000
2024-01-17,MSFT,377.20,29360000
2024-01-18,AAPL,187.10,69850000
2024-01-18,GOOG,146.30,30120000
2024-01-18,MSFT,380.15,35740000
2024-01-19,AAPL,188.45,74200000
2024-01-19,GOOG,147.00,31450000
2024-01-19,MSFT,381.60,36280000
2024-01-22,AAPL,187.80,61570000
2024-01-22,GOOG,146.40,26740000
2024-01-22,MSFT,380.30,30150000
2024-01-23,AAPL,189.20,72340000
2024-01-23,GOOG,148.10,32100000
2024-01-23,MSFT,383.40,37500000
2024-01-24,AAPL,190.50,76800000
2024-01-24,GOOG,149.25,33480000
2024-01-24,MSFT,385.10,38200000
2024-01-25,AAPL,189.80,63200000
2024-01-25,GOOG,148.60,28950000
2024-01-25,MSFT,383.75,31600000
2024-01-26,AAPL,191.30,71650000
2024-01-26,GOOG,150.10,31870000
2024-01-26,MSFT,386.20,35940000
2024-01-29,AAPL,192.10,68300000
2024-01-29,GOOG,151.40,30250000
2024-01-29,MSFT,387.50,34100000
2024-01-30,AAPL,191.50,64800000
2024-01-30,GOOG,150.80,27640000
2024-01-30,MSFT,386.90,32450000
2024-01-31,AAPL,193.25,78500000
2024-01-31,GOOG,152.00,34200000
2024-01-31,MSFT,389.30,39100000
